Model,Train RMSE,Train R2,Train MAE,Train MSE,Train MPE,Test RMSE,Test R2,Test MAE,Test MSE,Test MPE
Linear Regression,0.14374682143908812,-0.2938835436658498,0.11673294557240169,0.020663148673841083,0.679352870959005,0.3150167654675029,0.12499148558479634,0.18743449494848433,0.09923556252560774,0.9170573398126192
Lasso,0.1263819422316376,-0.00015829080957341368,0.08341989051203219,0.01597239532224098,-0.7945528084922665,0.33711490826410634,-0.002076461345950298,0.19561060017793447,0.11364646137391683,1.0287874100520453
Random Forest,0.10728421150514951,0.279273789701176,0.07761954188873803,0.011509902038281655,-0.03337041420171426,0.3645749210318696,-0.1719754757990506,0.2409938125789604,0.13291487304539396,1.563982567696468
