,Set,RMSE,MSE,MAE,MPE,R2
0,Validation,0.11996866576182798,0.014392480764673197,0.08227900092846974,0.9323274103607573,0.09877268424392138
1,Test,0.3254834898801837,0.10593950218458366,0.18830898678788288,-0.8313311704674878,0.06587956737029144
