,Set,RMSE,MSE,MAE,MPE,R2
0,Validation,0.12516888220920117,0.015667249073500877,0.08858793946560518,0.02116087071305393,0.9215090680479511
1,Test,0.4360779723812194,0.19016399799611555,0.2767461082143654,-0.07455735547345896,0.6570122163489649
