Model,Non-Crisis RMSE,Crisis RMSE,Non-Crisis MPE,Crisis MPE
Linear Regression,0.19994142553576275,0.6432725665376794,0.001087552914360725,0.2217216538392243
Lasso,0.2109599465198703,0.6760708931982585,-0.025208431967047945,0.18473040866815657
Random Forest,0.3147693217708752,0.6056202841019694,-0.06904528144639888,0.1294176361552997
FCNN,0.3425003561579476,0.747464057426618,0.03545524786712758,0.2723493784607667
GNN,0.2647025356303543,0.6948542743986917,0.0175264922418555,0.225557757669567
