Model,Small Banks RMSE,Large Banks RMSE,Small Banks MPE,Large Banks MPE
OLS,0.31516548693478563,0.3847314996724229,0.039032033045387944,0.00742413022467615
Lasso,0.3315501499109153,0.4066664231057922,0.008662102607019032,0.024862692269394852
Random Forest,0.3747609343725065,0.44592826195717494,-0.0335815704696994,-0.08960224343731496
FCNN,0.43328688798878645,0.4878397594241436,0.07435162718719018,0.07861208523639415
GNN,0.36819358902591925,0.4359472415757536,0.04952251402286636,0.0980220228953284
