Model,Train RMSE,Train R2,Train MAE,Train MSE,Train MPE,Test RMSE,Test R2,Test MAE,Test MSE,Test MPE
Linear Regression,0.14607139189322876,0.8931050781614089,0.11997461937316947,0.02133685152962522,0.19680537624078515,0.31887360123127,0.8166050020393292,0.1892761485527271,0.101680373562199,0.03750575523395445
Lasso,0.12770790007428207,0.9182924353278628,0.09341692855988008,0.016309307741382815,0.11787956966658024,0.3355639488495621,0.796904198263242,0.19431676719321492,0.1126031637675115,0.009444394322925645
Random Forest,0.12279728178466646,0.9244552574068687,0.08016949833839102,0.015079172413702777,0.04146358772537642,0.3785050472107255,0.7415992896650438,0.2431896965300804,0.14326607076399353,-0.03628668857313829
