,Set,RMSE,MSE,MAE,MPE,R2
0,Validation,0.10632618261894346,0.011305257110316914,0.07372265365590094,1.205040197341177,0.29208823092739544
1,Test,0.35646414170743085,0.12706668432321536,0.23151664354194154,-0.3655129528621704,-0.12040913620695859
