,Set,RMSE,MSE,MAE,MPE,R2
0,Validation,0.12646029860547048,0.015992207123384755,0.09108342071201797,0.07330995759023722,0.9198810694081742
1,Test,0.37174912253825076,0.13819741010795938,0.23284705955841128,-0.05186445084632553,0.7507413395872632
