,Set,Accuracy,ROC AUC,F1 Score,Precision,Recall
0,Validation,0.6898708635996772,0.760636793458824,0.6023285899094437,0.7279549718574109,0.5136804942630185
1,Test,0.600253807106599,0.6739249362558309,0.496,0.569620253164557,0.4392317380352645
