,count,mean,std,min,25%,50%,75%,max
diff_delta_covar,36894.0,-0.0033248494050039726,0.2690390769697079,-2.3980291253884767,-0.06568644075354932,-0.007863667893261997,0.029545090760098536,4.129318322174094
lag_diff_delta_covar,36894.0,-0.0026265641203782127,0.26975139516571905,-2.3980291253884767,-0.06544079701421507,-0.00762853816467704,0.03046912462736802,4.129318322174094
